Name,Number,Type,Street,Quarter,Plan_number
Chevallot,271,Boulangerie,Avenue Olympique,Les Lèches,7
Chevallot,506,Usine,Rue des Barmettes,L'Adroit,12
Chevallot les Clarines,298,Boulangerie,Val Village,Val Village,8
Chevril,140,Chalet,Avenue Olympique,L'Illaz,4
Cheyenne,375,Chalet,Accès par Route du Joseray,Châtelard,11
Chez Sylvain,668,Chalet,Rue du Fornet,Le Fornet,15
Chez Nano,196,Restaurant,Rue du Parc des Sports,Le Coin,7
Chez Paolo,436,Restaurant,Rue du Cachay,Le Rond-Point des Pistes,9
Chez Savoy,361,Chalet,Accès par Pont du Joseray,Le Joseray,10
Chez Seraphine,295,Chalet,Accès par Avenue du Prariond,Le Thovex,7
Chiquito Tabac,272,Tabac,Avenue Olympique,Les Lèches,7
Chogori Le,678,Hotel,Avenue du Prariond,L'illetaz,8
Choucas A Les,215,Résidences,Accès par Avenue Olympique,Le Dôme,7
Choucas B Les,214,Résidences,Accès par Avenue Olympique,Le Dôme,7
Christiania,254,Hôtel,Rue du Parc des Sports,Les Lèches,7
CIC,145,Banque,Avenue Olympique,L'illaz,4
Cimalpes,284,Agence Immobilière,Place Moufflier,Le Thovex,7
Cimes Les,145,Galerie,Avenue Olympique,L'Illaz,4
Cimes Les,145,Résidence,Avenue Olympique,L'illaz,4
Cimetière,509,Cimetière,Rue des Barmettes,L'Adroit,12
Cinéma,236,Cinéma,Rue de la Face,Vers les eaux,6
Circuit de Glace,663,Activité,Route de la Plaine,Plaine de la Daille,3
CIS Immobilier,448,Agence Immobilière,Rue de la Galise,Vieux Village,8
Clapey Le,335,Résidence,Rue des Leissières,Le Front de Neige,8
Clarines Les,85,Résidence,Route de la Balme,Le Bosset,4
Clo Pierre,482,Chalet,Rue des Leissières,Vieux Village,8
Clochetons Les,388,Restaurant,Route de l'Eau Rousse,Châtelard,11
Club des Sports,245,Bâtiment,Esplanade,Parc des Sports,6
Club Méditerrané,412,Résidence,Rue de la Legettaz,La Legettaz,11
Cocorico Le,441,Bar,Rue du Cachay,Rond-Point des Pistes,9
Cœur de Val,448,Résidence,Rue de la Galise,Vieux Village,8
Coffee Shop,215,Restauration,Avenue Olympique,Le Dôme,7
Cognac,418,Chalet,Rue de la Legettaz,La Legettaz,11
Coiffeur,234,Salon de coiffure,Montée de Bellevarde,Vers les Eaux,6
Coiffeur,7,Salon de coiffure,Place du Rosoleil,La Daille,1
